timestamp,stock_id,deal_volume,deal_amount,open_price,high_price,low_price,close_price,price_diff,trade_count,estimated_day_volume,pct_of_yesterday_avg,total_in_volume,total_out_volume,buy_prices,buy_volumes,sell_prices,sell_volumes,byIndexFlag,extra_data
20260515 09:36:09,2330,1,22300000,22250000,22350000,22150000,22300000,50000,1227,23813,pct_of_yesterday_avg,0,1578,3330,1435,1895,39.77,"[22250000, 22200000, 22150000, 22100000, 22050000]","[206, 529, 627, 940, 1028]","[22300000, 22350000, 22400000, 22450000, 22500000]","[232, 191, 293, 234, 485]",22270000.0,22275000.0,0,50,{'7': 22300000}
20260515 09:36:14,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[204, 327, 242, 636, 211]","[22900000, 22950000, 23000000, 23050000, 23100000]","[151, 193, 747, 179, 408]",50,{}
20260515 09:36:19,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[216, 324, 240, 640, 211]","[22900000, 22950000, 23000000, 23050000, 23100000]","[147, 193, 748, 179, 409]",50,{}
20260515 09:36:25,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[215, 324, 243, 639, 211]","[22900000, 22950000, 23000000, 23050000, 23100000]","[148, 197, 748, 179, 407]",50,{}
20260515 09:36:30,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[230, 328, 243, 638, 212]","[22900000, 22950000, 23000000, 23050000, 23100000]","[145, 198, 749, 179, 409]",50,{}
20260515 09:36:35,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[233, 327, 243, 639, 212]","[22900000, 22950000, 23000000, 23050000, 23100000]","[145, 196, 750, 179, 409]",50,{}
20260515 09:36:40,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[232, 327, 243, 639, 213]","[22900000, 22950000, 23000000, 23050000, 23100000]","[139, 196, 751, 179, 408]",50,{}
20260515 09:36:45,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[233, 326, 244, 638, 213]","[22900000, 22950000, 23000000, 23050000, 23100000]","[140, 197, 751, 179, 409]",50,{}
20260515 09:36:50,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[237, 321, 245, 638, 213]","[22900000, 22950000, 23000000, 23050000, 23100000]","[139, 197, 753, 180, 408]",50,{}
20260515 09:36:55,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[254, 313, 245, 637, 213]","[22900000, 22950000, 23000000, 23050000, 23100000]","[140, 196, 723, 180, 408]",50,{}
20260515 09:37:00,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[254, 312, 246, 638, 215]","[22900000, 22950000, 23000000, 23050000, 23100000]","[134, 197, 757, 180, 408]",50,{}
20260515 09:37:05,2330,,,,,,,,0,,,0,0,"[22850000, 22800000, 22750000, 22700000, 22650000]","[257, 313, 246, 639, 215]","[22900000, 22950000, 23000000, 23050000, 23100000]","[134, 196, 756, 180, 408]",50,{}
20260515 09:37:10,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[2, 240, 315, 247, 642]","[22950000, 23000000, 23050000, 23100000, 23150000]","[162, 734, 209, 411, 432]",50,{}
20260515 09:37:15,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[13, 248, 314, 246, 638]","[22950000, 23000000, 23050000, 23100000, 23150000]","[165, 736, 214, 428, 429]",50,{}
20260515 09:37:20,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[18, 251, 314, 249, 637]","[22950000, 23000000, 23050000, 23100000, 23150000]","[168, 734, 212, 430, 429]",50,{}
20260515 09:37:25,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[31, 255, 313, 246, 637]","[22950000, 23000000, 23050000, 23100000, 23150000]","[167, 739, 168, 431, 428]",50,{}
20260515 09:37:30,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[40, 256, 316, 274, 637]","[22950000, 23000000, 23050000, 23100000, 23150000]","[161, 710, 193, 434, 439]",50,{}
20260515 09:37:35,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[54, 256, 315, 274, 637]","[22950000, 23000000, 23050000, 23100000, 23150000]","[171, 713, 193, 436, 438]",50,{}
20260515 09:37:40,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[58, 253, 315, 274, 647]","[22950000, 23000000, 23050000, 23100000, 23150000]","[171, 712, 194, 438, 439]",50,{}
20260515 09:37:45,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[68, 252, 316, 274, 647]","[22950000, 23000000, 23050000, 23100000, 23150000]","[173, 708, 198, 437, 439]",50,{}
20260515 09:37:50,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[68, 314, 317, 274, 647]","[22950000, 23000000, 23050000, 23100000, 23150000]","[171, 712, 199, 436, 442]",50,{}
20260515 09:37:55,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[33, 270, 312, 272, 647]","[22950000, 23000000, 23050000, 23100000, 23150000]","[177, 713, 199, 438, 436]",50,{}
20260515 09:38:00,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[43, 265, 313, 272, 647]","[22950000, 23000000, 23050000, 23100000, 23150000]","[181, 716, 200, 437, 435]",50,{}
20260515 09:38:05,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[42, 267, 316, 272, 645]","[22950000, 23000000, 23050000, 23100000, 23150000]","[178, 774, 246, 488, 489]",50,{}
20260515 09:38:10,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[45, 258, 316, 272, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[151, 805, 246, 487, 489]",50,{}
